"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"1",0,2310,860,2440,750,850,7830,96410,100,1010,2360,620,3130,75270,1180,360,420,410,610,970,650,2880,490,480,610,1940,190
"2",3420,0,530,580,260,180,560,840,220,370,900,3120,430,2650,320,20,160,150,200,300,350,530,20,1700,180,560,20
"3",1100,30,0,120,280,130,160,120,30,20,40,30,790,580,10,0,40,10,10,0,20,170,10,10,40,60,0
"4",1010,260,150,0,0,10,180,380,0,70,40,40,680,530,150,10,30,30,80,60,60,460,30,0,10,420,70
"5",930,110,1860,130,0,560,2380,30,70,50,80,30,310,680,10,0,10,10,10,100,0,40,10,110,50,20,0
"6",7490,1940,7440,800,4540,0,13050,2090,950,1080,310,2450,3170,4600,50,110,30,220,20,130,160,990,1370,230,1620,1990,20
"7",15520,1170,3450,2760,320,920,0,4700,200,160,250,370,14400,4590,90,30,50,190,0,90,200,780,260,280,3010,2210,20
"8",7230,360,190,490,160,160,2070,0,30,190,800,630,750,5130,50,30,50,120,90,20,60,270,110,150,110,610,10
"9",3140,5870,1220,130,660,800,1380,640,0,780,300,2180,1540,1920,10,0,10,200,40,20,10,370,980,670,260,540,10
"10",6890,3070,950,550,380,1450,3350,2250,890,0,1580,2510,1040,4350,120,10,20,130,90,50,80,760,100,1280,1030,1890,0
"11",10060,1720,550,770,320,260,2190,6680,160,930,0,4360,620,7150,90,30,0,60,20,30,80,990,80,400,980,1310,40
"12",3450,19520,370,190,260,130,1240,900,690,600,3420,0,680,2710,90,30,50,110,80,50,170,320,60,3240,280,520,10
"13",1210,140,370,680,10,90,3610,500,40,30,20,180,0,570,0,10,0,30,0,100,50,310,0,10,630,520,0
"14",14900,800,220,830,170,260,1300,5560,60,100,930,1010,860,0,600,210,220,240,200,190,110,770,120,200,230,620,0
"15",13740,310,140,660,10,60,560,1270,10,20,230,200,190,9510,0,620,410,90,50,30,380,520,40,160,50,420,0
"16",15440,390,150,770,140,150,660,2560,50,130,320,340,1140,18530,740,0,150,50,10,110,80,260,20,100,20,270,10
"17",23140,1260,1300,800,190,360,2500,3810,40,160,190,470,440,12280,1010,100,0,1080,60,580,680,1680,270,340,310,550,40
"18",13300,2420,190,650,370,420,1230,7690,10,230,160,670,1280,9100,210,80,960,0,300,430,440,1060,1800,190,530,610,10
"19",11730,5050,400,1800,210,160,730,5970,140,150,540,1200,1700,9820,230,170,260,2450,0,2090,1290,1570,1210,630,260,420,230
"20",6850,1150,90,1690,10,70,490,1440,0,60,100,510,1180,3110,160,40,170,1520,560,0,3500,9420,290,430,230,810,410
"21",3630,870,90,170,0,10,20,520,0,20,50,90,110,3830,10,10,30,250,170,1330,0,1170,80,40,0,230,290
"22",450,0,10,170,0,0,0,40,10,0,10,0,210,120,40,10,0,30,70,560,60,0,0,0,0,80,10
"23",760,30,0,0,20,10,30,210,0,0,0,20,0,450,40,10,10,60,0,10,60,0,0,0,0,70,0
"24",150,760,0,0,10,0,30,140,0,20,80,120,0,240,0,30,0,0,0,0,0,0,0,0,0,0,0
"25",240,30,120,60,0,80,1550,0,40,10,50,60,1040,60,40,0,0,10,0,20,0,0,0,30,0,200,0
"26",70,0,0,100,0,30,60,20,0,0,50,0,160,0,0,0,0,0,0,10,0,20,0,0,0,0,0
"27",900,220,10,70,10,0,140,100,0,10,0,240,90,490,20,0,60,130,10,460,510,700,20,0,30,40,0
