"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
"1",0,260,510,20,120,220,3610,10,0,0,50,10,70,0,0,0,0,0,0,10,0,0,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,130,20,0,40,10,20,70,20,20,10,0,0,30,560,0,0,0,20,0,40,0,150,30,10,0,10,570,50,110,30,0,20,0,0,0,10,100
"2",350,0,410,10,10,140,320,40,0,0,0,10,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,30,0,0,0,0,10,50,0,100,0,0,0,20,100,0,0,0,0,0,0,0,20,0,0,0,0,50,10,0,0,0,0,0,0,0,0,0
"3",460,390,0,20,730,180,1300,40,20,40,0,20,30,10,10,20,20,0,0,20,0,20,40,0,10,10,10,10,0,0,0,0,20,0,0,0,0,10,90,0,0,1000,30,20,0,30,160,160,190,20,0,0,0,0,1270,20,10,10,0,0,0,10,150,10,10,50,30,770,110,120,20,0,10,0,0,0,10,220
"4",20,0,60,0,20,110,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,170,0,0,0,0,10,0,0,0,0,0,0,70,90,0,0,0,0,0,0,0,0,0,0,0,30,0,20,0,0,0,0,0,0,0,0
"5",40,120,500,0,0,10,220,30,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,0,30,10,0,0,20,20,20,10,0,0,10,10,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,20
"6",820,130,230,120,20,0,810,40,10,0,0,10,20,0,0,10,0,0,0,10,10,20,40,0,10,0,0,0,0,0,10,0,0,0,0,10,0,0,50,0,10,60,0,20,10,30,10,20,10,70,0,0,40,30,690,0,20,0,0,10,40,50,40,0,0,10,0,300,140,90,50,30,0,20,0,0,0,20
"7",3280,220,1130,260,170,290,0,240,10,0,0,40,170,20,40,0,10,30,0,30,0,10,30,40,0,50,0,0,200,0,0,0,10,0,0,30,10,0,60,40,10,690,60,200,130,50,170,150,250,360,90,50,10,300,1970,550,130,10,50,80,90,50,150,140,50,220,30,1240,210,700,140,100,0,0,0,0,0,160
"8",10,20,100,10,70,20,360,0,0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,60,0,0,0,0,50,0,10,0,0,10,0,0,0,0,10
"9",10,0,100,10,20,0,10,0,0,50,10,90,10,0,0,0,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,20,370,80,10,40,10,0,70,50,10,10,0,0,0,160,0,10,0,50,0,0,0,20,0,0,10,0,210,60,50,0,0,0,0,0,0,0,50
"10",30,10,100,0,30,0,80,0,30,0,70,0,180,10,10,20,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,320,30,0,10,70,10,70,0,30,10,0,0,20,120,10,0,10,0,0,0,0,20,10,0,0,0,150,90,0,0,20,0,0,0,0,0,30
