"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
"1",0,60,70,860,90,270,0,0,600,90,60,10,60,60,60,50,60,260,20,510,80,40,80,70,10,0,10,10,390,40,20,10,40,0,0,10,10,10,30,40,20,100,30,30,30,10,60,50,20,60,4850,250,80,190
"2",90,0,410,530,180,200,20,0,60,10,40,30,50,0,10,10,0,10,0,80,10,210,230,200,110,0,10,30,370,60,10,50,10,0,10,30,10,0,100,60,130,50,110,40,0,30,80,10,40,10,2040,310,210,250
"3",60,100,0,30,100,0,10,30,140,70,80,40,40,0,10,40,10,10,20,160,10,10,170,220,30,0,0,30,400,60,20,0,50,30,50,10,10,20,180,50,60,100,120,100,20,0,180,0,30,10,2840,150,80,320
"4",90,100,10,0,170,0,0,0,20,0,10,0,0,0,0,0,0,10,0,0,0,10,20,0,10,0,0,0,60,30,20,0,10,0,0,10,0,0,0,30,0,20,0,10,0,0,0,0,0,0,300,10,0,10
"5",30,100,110,810,0,290,60,10,140,20,60,50,70,30,10,10,0,20,20,150,0,150,150,190,70,30,10,40,420,40,0,50,60,40,150,40,10,20,90,80,40,70,10,130,20,40,80,20,50,60,2340,240,60,230
"6",110,150,20,10,140,0,0,0,60,0,10,0,10,0,0,0,0,20,0,30,0,10,60,0,0,0,0,0,100,0,20,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,0,10,20,710,60,10,60
"7",10,0,20,0,20,0,0,150,130,90,180,30,80,0,60,20,10,50,20,80,0,50,70,30,10,0,0,10,230,40,0,70,30,20,40,0,10,0,10,20,20,120,30,30,30,0,90,0,60,10,1790,90,60,370
"8",0,0,60,10,100,0,220,0,260,150,30,90,180,10,0,0,0,0,20,10,0,0,20,20,10,0,0,0,160,50,10,0,10,0,0,0,0,30,40,0,20,80,20,10,10,0,70,0,20,90,1360,70,10,170
"9",1230,50,140,30,100,440,60,260,0,1000,280,20,240,100,150,180,60,140,70,250,50,160,70,150,40,0,10,10,570,40,10,70,80,20,60,20,0,20,110,70,90,280,100,120,20,10,200,50,40,60,4910,290,230,680
"10",20,10,40,0,10,10,20,80,750,0,80,0,140,50,0,30,0,10,0,90,20,10,130,40,20,0,10,0,230,20,0,0,0,0,0,10,0,0,20,0,20,60,20,20,10,20,60,10,20,0,3610,100,120,340
"11",40,20,80,10,50,40,150,110,260,20,0,10,140,10,40,20,0,80,20,140,50,10,30,30,10,0,0,30,150,40,20,0,60,0,10,20,0,10,100,0,40,110,50,60,10,0,110,10,40,60,2350,60,140,250
"12",10,10,60,0,10,0,50,210,140,20,40,0,90,0,120,0,0,0,0,20,0,0,10,10,10,0,0,0,220,40,0,10,20,0,0,20,0,10,10,0,30,70,50,50,20,0,120,0,30,40,1400,60,30,530
"13",120,40,30,60,20,0,20,250,290,170,0,150,0,50,50,50,0,0,20,70,0,10,0,40,40,0,0,20,250,50,0,10,20,20,10,20,20,20,60,40,10,60,90,20,60,0,70,80,60,40,4010,230,30,200
"14",50,0,0,0,0,0,20,30,180,20,0,0,20,0,40,0,0,0,0,40,40,50,20,10,0,0,20,0,70,10,0,0,30,40,0,0,0,0,0,0,0,40,0,30,0,0,0,0,0,0,740,60,0,30
"15",30,0,10,0,0,10,10,10,220,10,0,40,60,20,0,10,40,50,80,300,20,10,40,10,30,10,0,0,300,20,10,0,0,20,0,10,20,30,10,0,10,80,110,0,10,0,100,0,30,10,2060,200,90,210
"16",10,0,0,0,10,0,10,0,200,30,10,10,30,10,20,0,0,0,40,60,0,0,20,0,0,0,0,20,30,0,0,0,0,10,0,0,0,0,0,0,10,0,10,0,10,0,30,0,0,0,620,120,0,110
"17",70,0,0,0,0,0,20,0,250,0,10,0,0,0,0,0,0,50,0,80,60,0,0,10,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,670,20,0,110
"18",70,10,0,0,10,20,60,10,90,50,40,0,0,0,40,10,0,0,10,650,270,10,30,10,130,10,0,0,220,0,0,0,60,0,10,20,0,0,50,10,0,20,0,10,10,50,20,0,20,10,1150,90,10,110
"19",20,0,0,0,50,20,0,0,80,10,0,0,0,0,90,0,0,100,0,350,100,0,20,0,0,0,0,0,170,30,0,0,10,10,10,20,0,40,30,0,0,30,10,0,0,0,30,0,0,0,1100,60,0,90
"20",260,30,120,20,30,30,30,20,280,20,140,10,50,10,180,10,50,420,220,0,230,20,110,80,160,20,20,30,990,70,70,20,100,70,70,70,50,10,250,70,80,160,0,0,10,80,60,10,20,10,2590,170,70,230
"21",20,10,0,10,0,0,10,0,100,30,110,0,20,10,70,10,50,130,50,410,0,0,30,0,0,0,0,10,270,10,10,10,10,0,0,10,40,0,50,0,10,60,10,0,10,0,70,0,10,10,1040,90,40,70
"22",30,90,90,40,430,40,10,0,90,20,30,0,110,0,20,0,0,0,0,70,0,0,290,240,210,10,10,0,660,0,20,10,60,20,0,20,30,0,100,30,30,80,50,40,20,20,100,30,20,10,1740,150,30,150
"23",60,120,130,30,190,90,60,40,320,70,40,50,120,0,30,40,50,110,50,400,40,570,0,860,680,1270,30,70,2270,60,190,100,350,200,420,270,90,10,230,320,250,300,110,300,90,10,160,10,120,150,2610,460,140,790
