"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
"1",0,2400,710,120,0,20,90,10,20,20,40,0,0,70,300,990,250,270,160,0,30,60,20,10,0,60,80,10,60,20,20,30,10,5940
"2",1330,0,680,440,140,40,20,30,80,60,180,10,10,90,450,210,220,580,970,150,650,230,120,30,50,90,180,130,60,30,100,100,30,8830
"3",430,830,0,20,10,10,10,20,50,30,0,30,0,0,180,280,280,230,340,40,270,60,20,10,30,240,140,0,20,10,20,60,80,3370
"4",110,840,150,0,480,10,10,70,30,50,60,0,0,0,0,130,10,300,350,10,250,180,90,60,50,100,90,10,60,10,120,0,10,1670
"5",10,370,30,290,0,0,0,10,30,100,20,40,20,60,30,150,0,50,60,120,290,40,0,80,30,170,140,10,100,20,50,10,0,1000
"6",30,110,30,0,20,0,280,530,860,240,2430,240,20,290,140,10,0,290,70,0,90,0,20,30,0,280,20,60,560,40,290,130,20,2510
"7",0,40,70,10,60,320,0,190,690,380,2010,270,110,710,30,0,0,150,10,60,70,50,0,80,10,130,20,110,550,30,190,470,10,1450
"8",40,200,40,80,50,400,90,0,1230,190,4220,300,40,270,120,110,50,460,50,10,70,50,10,130,80,280,40,230,990,170,960,260,30,4020
"9",40,200,170,60,30,380,370,360,0,990,3750,210,160,200,300,210,80,180,70,60,220,20,50,330,210,470,70,180,1430,150,1520,440,180,5230
"10",0,330,40,20,70,300,200,490,1010,0,3790,780,780,1220,220,10,70,400,0,10,120,0,30,230,30,250,80,350,1300,330,880,1430,300,9600
"11",0,50,0,30,0,670,510,360,840,850,0,370,250,190,50,20,50,120,10,30,40,0,10,200,110,360,20,620,600,170,820,470,180,1820
"12",0,70,80,0,40,120,150,100,780,1020,2740,0,210,850,40,10,70,120,0,0,20,10,0,10,10,20,20,60,550,150,560,510,80,3210
"13",0,50,10,10,0,50,40,160,100,760,500,110,0,560,10,0,10,40,0,0,0,0,0,100,0,10,0,130,180,60,90,260,20,840
"14",0,120,20,0,30,170,370,200,390,1580,1330,330,610,0,30,30,10,60,70,0,90,0,0,90,60,20,10,200,300,90,420,360,10,2860
"15",230,310,610,20,10,40,30,20,40,20,100,0,10,0,0,470,420,390,110,0,80,0,0,0,180,160,20,30,80,0,10,10,10,4060
"16",740,490,970,10,0,0,0,0,0,20,30,0,0,70,710,0,100,460,80,0,20,0,0,0,20,10,30,0,80,0,0,30,0,4690
"17",580,350,190,0,0,0,0,100,0,90,70,60,0,30,1090,230,0,1070,130,10,90,0,0,10,30,140,50,10,90,10,30,20,60,10750
"18",320,1080,730,60,30,90,70,390,240,310,560,170,200,30,1230,680,730,0,420,100,450,80,110,80,560,980,360,30,180,120,150,170,240,14720
"19",290,2330,1060,280,90,10,0,40,100,10,230,20,0,0,440,280,560,620,0,20,150,160,20,0,220,160,270,50,80,20,30,10,10,7180
"20",0,180,60,10,60,10,20,10,140,40,160,10,0,90,0,30,60,140,30,0,1240,20,300,150,0,50,40,0,60,30,40,120,0,2140
"21",50,1300,360,380,500,200,90,50,500,300,680,50,20,210,260,70,120,770,130,830,0,640,530,610,560,490,880,100,530,50,130,450,20,14850
"22",180,340,210,170,10,10,10,10,10,10,0,0,30,10,0,20,90,230,40,40,780,0,60,50,80,80,250,0,60,0,10,30,20,3090
"23",0,490,90,110,290,10,0,80,10,40,70,0,10,20,10,10,70,170,20,150,950,180,0,30,30,100,90,20,120,30,30,90,0,2630
"24",70,70,0,0,40,40,140,150,510,120,890,20,20,80,100,10,0,130,30,330,970,140,120,0,140,190,50,140,740,120,320,280,30,4110
"25",80,330,280,10,60,0,20,60,340,60,630,10,0,70,400,70,210,760,80,70,530,10,40,30,0,380,360,0,450,0,160,130,0,10940
"26",10,580,230,50,50,640,80,880,1050,530,1860,20,70,290,690,90,420,2180,100,80,490,0,70,160,790,0,160,80,1820,90,790,570,120,12730
"27",160,670,430,20,60,10,0,100,80,80,510,0,0,40,350,170,460,760,300,60,380,120,50,10,340,160,0,80,270,0,30,80,10,17450
"28",0,50,20,20,0,120,40,80,90,400,1280,20,220,90,10,10,30,180,10,10,190,0,0,30,40,190,40,0,250,680,970,2000,350,2650
"29",10,40,80,130,90,390,280,350,1920,750,1430,150,110,250,240,50,140,420,70,60,220,220,120,320,280,280,40,220,0,220,1530,1030,260,3710
"30",0,100,10,30,30,20,0,0,80,200,150,120,20,140,70,0,70,30,40,0,60,0,0,10,0,30,10,510,190,0,220,1730,240,2720
"31",10,340,170,40,20,270,70,50,880,510,1470,80,110,110,140,70,100,260,10,100,240,60,40,220,20,370,70,400,1500,350,0,2090,840,6190
"32",20,440,200,0,110,170,220,120,360,1210,930,380,80,210,200,180,20,270,70,60,160,100,0,110,220,660,120,1930,1250,2840,1750,0,2200,7480
"33",0,10,50,0,40,0,0,120,100,20,20,0,0,60,30,0,0,70,20,0,40,10,0,90,0,170,0,270,120,420,220,1320,0,620
"34",2620,5000,1930,470,830,1340,450,650,1570,2480,1230,410,340,440,6900,4000,1970,4950,1860,680,4740,1870,980,1700,4620,2490,7040,460,1710,700,1400,2210,440,0
