"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
"1",0,7180,10740,1880,2640,3080,2760,5040,1460,340,500,260,6420,1060,240,2000,720,560,2680,600,6620,3360,80,160,480,2240,520,180,960,300,100,860,2080,1220,7500,3540,8320,3240,1640,80,2040,3300,580,6600,900,160,440,2240,8380,1520,620,140,260,240,60,240,240,1940,320,3280,1120,2040,140,640,2400,3280,1540,4980,4220
"2",12060,0,3980,360,500,740,3400,580,120,20,100,120,420,40,20,140,60,0,40,0,600,200,0,0,0,160,20,0,0,0,0,40,160,20,340,40,240,60,0,20,140,60,60,2120,80,40,0,340,3460,20,660,0,60,40,40,20,20,120,0,500,0,220,0,0,140,40,40,160,20
"3",7020,1860,0,200,520,1680,440,660,140,80,80,60,360,80,40,120,200,0,220,200,1020,80,0,0,0,300,160,40,80,20,0,60,0,40,340,160,200,140,40,20,160,40,80,880,60,0,20,120,1220,40,60,0,40,20,0,0,0,140,0,120,20,160,0,0,0,40,0,300,180
"4",3700,740,820,0,480,600,340,2460,60,0,20,20,780,80,20,680,560,20,140,60,120,100,0,0,60,180,180,80,0,0,0,0,0,100,80,0,0,100,0,0,0,0,0,340,20,0,0,480,380,0,40,0,20,0,0,0,40,20,0,80,0,20,0,0,0,0,0,20,0
"5",17340,2200,5460,1140,0,1940,1080,2680,200,80,60,0,800,80,20,340,140,0,100,20,480,60,0,0,20,100,0,60,0,0,0,0,100,20,80,0,40,0,0,20,20,0,20,1220,20,0,0,980,2120,0,60,0,0,0,0,0,40,100,0,220,0,0,0,20,0,100,40,100,0
"6",2560,520,2900,120,800,0,220,120,20,0,0,0,220,60,0,60,0,0,20,0,160,0,0,0,20,40,0,0,20,0,0,40,0,20,0,0,0,0,0,0,40,20,0,140,20,0,0,120,240,0,20,0,0,0,0,0,0,20,40,20,0,20,0,0,0,0,0,0,0
"7",4400,1640,880,200,460,320,0,1360,140,60,0,0,200,0,0,160,20,40,0,0,180,20,0,0,20,40,20,0,0,0,0,0,40,40,40,80,100,0,0,0,20,0,0,500,40,20,40,2060,4200,40,440,20,0,80,0,20,160,60,40,660,0,80,0,20,40,100,20,20,60
"8",13040,1440,2860,1580,1340,800,3060,0,180,100,60,60,660,100,20,520,120,40,40,80,400,60,0,0,220,1000,140,0,80,0,60,0,120,0,200,40,20,40,80,0,0,80,0,1160,20,100,0,6080,2180,80,160,20,40,40,0,40,100,200,80,580,60,40,20,20,20,60,80,40,0
"9",960,80,100,0,0,80,20,60,0,2760,2100,20,9440,400,240,0,0,0,100,100,100,140,0,0,0,0,60,0,0,0,0,0,0,60,0,20,20,100,60,0,80,0,0,140,0,0,0,0,40,20,0,0,0,60,0,0,0,40,20,40,0,20,0,40,60,20,0,40,40
"10",740,20,100,20,40,20,0,20,1760,0,260,260,1820,20,700,0,0,0,40,0,120,140,0,0,20,20,0,0,0,0,0,0,0,20,40,20,20,20,0,0,0,80,0,20,20,0,0,0,0,0,0,0,0,20,0,0,0,80,0,20,0,20,20,0,60,80,0,0,20
"11",460,60,60,0,20,120,0,40,2060,420,0,0,8700,1060,40,0,0,0,40,20,100,260,0,20,0,0,0,0,0,0,0,80,80,20,100,0,0,0,0,0,20,0,0,60,20,80,20,0,100,0,40,0,0,0,0,0,0,0,0,0,0,40,0,0,0,40,0,0,0
"12",240,140,0,160,0,20,20,40,120,280,320,0,780,40,640,20,0,0,0,0,40,20,0,0,0,20,0,0,20,0,0,0,0,20,80,0,0,0,20,0,20,20,0,80,40,0,0,0,40,20,0,20,0,0,0,40,0,20,20,20,0,0,0,0,80,0,0,20,40
"13",9640,500,660,280,300,140,120,520,3660,1340,2000,920,0,2360,380,320,140,60,1320,360,900,1140,40,0,140,540,200,100,100,0,0,180,240,160,1500,360,1560,780,540,20,440,380,300,540,180,220,100,240,1240,260,40,20,100,40,40,0,20,580,60,520,0,460,40,120,860,580,240,520,920
