"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"1",0,550,90,50,120,0,0,0,0,60,0,0,30,0,0,0,0,30,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,40,40,10,0,490,0,0,0,0,0,30,70,0,0,0,100,0,0,2690
"2",150,0,20,840,0,20,10,0,60,0,0,0,60,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,50,60,10,0,700,0,0,0,0,0,0,0,0,0,0,50,0,20,1250
"3",70,0,0,30,1160,0,0,0,50,0,0,0,10,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,30,210,80,0,60,0,650,0,10,6070
"4",0,330,20,0,0,0,30,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,80,270,0,10,320,0,0,0,0,0,30,0,0,0,0,0,40,0,490
"5",0,50,480,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10,0,50,0,0,0,0,0,60,60,0,40,0,40,0,0,1590
"6",0,10,0,0,0,0,0,220,10,40,0,0,290,0,30,20,460,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,60,10,0,0,600,0,10,0,0,0,170,0,0,0,0,0,10,0,830
"7",0,0,0,20,0,0,0,10,710,240,10,0,1220,20,180,60,10,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,90,0,60,0,380,0,0,0,0,0,80,0,0,0,0,20,10,0,1060
"8",0,0,10,0,0,260,20,0,30,80,0,0,670,40,110,1160,40,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,30,0,0,0,580,50,0,0,30,0,130,0,0,0,40,30,10,0,1800
"9",10,20,0,0,0,10,350,70,0,100,30,40,830,140,440,120,30,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10,50,0,260,0,0,0,0,0,0,50,0,30,0,40,0,0,410
"10",0,10,0,0,0,0,230,50,120,0,10,0,4730,30,20,20,290,10,0,0,0,10,0,0,0,0,0,10,0,0,40,0,0,150,60,140,0,330,10,10,0,0,0,170,0,0,20,0,40,0,0,1570
"11",0,0,0,0,0,0,0,0,0,100,0,0,60,0,10,10,0,0,10,40,10,0,10,40,50,0,0,0,30,170,0,0,0,10,0,0,0,30,0,0,0,0,0,60,0,50,0,70,190,0,0,1190
"12",0,0,0,0,0,0,0,20,120,20,0,0,260,1170,0,150,0,0,0,60,0,0,10,10,0,0,0,0,0,0,0,0,0,20,0,0,0,160,0,0,0,20,100,370,220,10,370,0,740,40,30,6160
"13",0,20,0,40,20,90,160,40,100,1920,90,10,0,60,10,50,170,0,0,30,0,40,110,0,0,10,0,0,0,60,10,20,60,150,40,130,0,1000,0,0,0,0,10,230,110,90,50,0,290,30,140,3210
"14",0,0,10,0,0,0,20,10,0,10,0,20,100,0,80,90,40,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,40,0,0,0,20,10,10,20,0,580
"15",0,0,0,0,0,20,30,20,380,20,0,10,90,30,0,20,10,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,40,10,10,0,60,0,0,0,0,0,0,0,0,0,0,10,0,0,290
"16",0,10,0,20,0,0,90,540,130,20,0,40,190,120,60,0,50,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,50,0,0,10,100,60,0,0,0,60,0,0,1080
"17",0,0,10,0,0,350,0,10,0,460,0,0,450,0,20,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,50,0,10,0,280,0,0,0,40,0,50,40,0,200,0,0,0,0,620
"18",0,0,0,0,0,0,0,0,0,0,0,10,80,0,0,0,0,0,320,200,100,460,2860,20,10,0,10,10,0,0,0,0,0,0,0,10,0,60,10,0,0,0,0,150,20,30,0,60,70,20,20,2380
"19",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,530,0,190,170,330,2350,170,0,30,30,30,10,70,0,0,0,20,0,0,0,10,0,0,20,0,0,130,40,120,10,20,40,10,210,3620
