"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
"1",0,300,700,340,330,340,190,60,80,120,90,720,520,320,100,50,140,10,80,10,60,250,40,60,100,260,80,0,110,0,30,30,20,40,20,10,50,50,0,10,40,50,50,50,10,10,3150
"2",200,0,130,140,270,30,60,60,0,20,0,30,0,10,0,10,0,0,0,10,0,30,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,210,10,0,0,460
"3",0,50,0,10,50,210,50,0,20,10,0,240,260,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,70,0,0,0,0,0,0,0,20,0,10,0,0,0,0,0,180
"4",150,250,10,0,490,80,270,0,0,10,10,10,0,0,0,0,10,60,0,10,0,20,0,0,10,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,200
"5",230,300,240,60,0,290,20,70,60,60,120,670,130,20,40,110,70,0,120,0,0,70,0,0,10,40,0,0,120,0,10,0,0,10,0,0,0,0,0,0,10,20,0,0,10,0,1580
"6",180,310,650,40,400,0,160,50,60,330,30,440,50,130,20,50,100,0,20,40,30,90,30,10,10,130,10,10,30,0,0,0,0,20,40,0,0,0,20,0,20,10,0,0,0,10,1260
"7",80,10,120,20,70,130,0,10,90,30,0,100,0,0,20,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,10,0,30,0,0,0,0,10,0,0,0,0,310
"8",60,110,20,10,100,20,0,0,650,620,170,1550,800,10,130,180,30,20,70,60,10,160,50,0,0,110,10,10,120,10,0,30,0,0,0,20,20,0,0,20,30,40,10,0,0,0,2690
"9",60,0,10,0,50,0,20,130,0,60,70,340,290,100,90,60,10,10,20,0,0,80,0,10,0,80,20,10,40,0,10,0,20,0,60,0,0,0,0,0,10,0,0,0,0,0,2180
"10",30,10,0,0,50,50,0,100,80,0,140,590,140,0,270,540,150,60,190,20,120,230,240,40,50,80,30,10,20,10,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,1190
