"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"1",0,0,0,100,0,90,20,20,50,250,10,0,360,330,20,10,40,60,590,5800,1060
"2",0,0,0,0,70,110,10,0,60,30,0,0,140,100,460,250,0,0,130,1180,110
"3",140,0,0,100,30,40,0,120,30,170,340,0,290,270,10,10,10,60,460,4320,420
"4",90,0,10,0,0,90,0,10,0,100,0,0,400,220,0,10,160,10,220,3490,2710
"5",10,0,70,60,0,50,10,10,160,100,20,0,390,650,110,520,40,50,640,5570,550
"6",10,0,0,20,0,0,340,570,70,70,500,250,160,480,0,60,80,220,190,3530,80
"7",0,0,0,30,0,280,0,20,40,20,30,840,310,390,0,80,30,870,340,5650,120
"8",0,0,0,10,0,570,30,0,10,110,300,10,110,580,0,0,10,10,310,4480,70
"9",290,0,40,390,50,30,30,0,0,90,0,10,530,890,150,220,460,60,790,8540,2020
"10",60,0,10,790,30,130,0,40,70,0,370,20,210,640,10,0,0,10,150,5040,460
"11",0,10,0,40,0,560,10,160,10,130,0,0,30,270,0,0,0,10,140,2270,10
"12",0,0,0,30,0,990,740,10,0,10,10,0,110,160,10,0,10,520,10,3790,40
"13",50,120,0,190,10,190,90,80,50,50,60,10,0,530,20,30,390,20,2420,5250,660
"14",0,0,0,390,0,430,110,210,190,300,100,0,470,0,70,140,100,140,500,14220,300
"15",240,100,0,460,0,0,90,90,230,10,0,0,1090,730,0,750,240,0,2350,7070,1180
"16",0,30,0,0,90,90,0,0,470,0,0,0,540,360,1250,0,70,10,510,4610,330
"17",70,0,10,430,0,50,30,10,80,50,0,0,700,340,10,0,0,0,580,3760,1920
"18",0,0,0,10,0,290,590,190,0,100,40,50,70,440,0,0,10,0,260,5780,230
"19",0,130,50,20,20,220,40,130,90,130,40,10,1260,480,80,80,80,90,0,5460,740
"20",250,60,160,750,250,2110,830,620,1300,990,840,730,1910,5570,1630,1560,620,1040,2860,0,2350
"21",50,0,0,760,10,240,20,20,110,40,20,10,610,290,80,50,190,0,630,3890,0
