"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"1",0,0,10,120,0,100,20,10,40,270,10,30,270,350,40,10,40,60,630,5530,1030
"2",0,0,0,10,70,130,0,30,60,30,20,0,150,130,190,250,0,0,160,1500,190
"3",140,0,0,100,30,20,0,140,30,180,340,0,270,250,10,100,10,60,490,4010,390
"4",80,10,0,0,0,130,20,0,0,120,10,0,420,240,0,0,220,0,270,3070,2500
"5",10,0,70,70,0,60,0,10,150,80,10,0,380,640,40,300,30,50,680,5360,540
"6",10,0,0,0,0,0,190,560,50,50,200,130,150,360,10,60,60,180,190,3140,100
"7",0,0,0,30,0,270,0,10,0,10,30,430,270,240,0,90,30,650,270,6020,110
"8",0,0,0,20,10,620,30,0,0,130,250,10,100,460,0,0,20,30,270,4240,80
"9",300,0,100,340,50,40,10,0,0,80,0,0,520,830,50,240,450,40,790,8330,1950
"10",60,0,10,820,30,150,0,60,20,0,370,20,180,680,0,0,0,20,190,4720,410
"11",0,10,0,40,0,550,10,170,0,50,0,0,40,190,0,10,0,20,150,1870,10
"12",0,0,0,20,0,660,720,0,0,10,10,0,120,120,0,0,20,540,10,3540,0
"13",60,120,0,170,10,200,90,80,50,60,60,10,0,550,20,30,350,0,2200,5110,600
"14",0,0,0,390,0,340,120,270,100,310,40,0,480,0,30,0,60,80,450,13100,290
"15",240,100,0,480,0,0,80,10,230,10,30,0,920,790,0,650,260,0,2260,6700,1140
"16",0,30,0,0,80,120,10,0,140,0,0,0,520,290,670,0,70,40,470,4470,310
"17",60,0,10,420,0,60,30,10,60,50,0,0,630,360,20,10,0,10,510,3640,1700
"18",20,0,0,10,10,270,610,150,0,110,40,40,50,450,10,0,10,0,270,5590,200
"19",0,130,50,40,30,230,30,140,50,140,30,20,1240,500,60,20,80,100,0,5350,640
"20",320,50,80,680,290,1820,710,580,600,900,680,570,1900,4580,790,820,450,770,3190,0,2450
"21",70,0,0,690,10,190,20,30,70,50,0,0,610,210,60,20,170,0,600,4060,0
