"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"1",0,1460,260,1160,80,20,60,220,300,100,80,60,20,20,0,100,720,40,0,60,140,20
"2",1040,0,1580,2280,180,0,40,300,200,180,120,20,80,40,80,80,680,220,40,120,60,160
"3",280,2680,0,3020,2160,240,40,40,400,160,60,80,20,100,20,100,480,60,0,120,80,120
"4",960,2580,3900,0,4600,4320,1040,1320,1180,2760,580,240,440,540,200,620,2640,660,200,380,320,320
"5",60,280,2200,5020,0,620,180,260,440,260,80,140,120,60,120,240,1080,400,0,20,100,60
"6",140,40,80,3200,220,0,20,40,40,1820,80,100,60,0,20,40,360,80,0,20,20,0
"7",0,280,240,2460,600,60,0,1060,260,380,300,100,460,140,120,420,1880,700,140,140,40,100
"8",160,620,120,2020,260,100,820,0,200,120,200,280,40,80,80,120,1620,280,80,40,120,120
"9",100,260,140,660,120,100,160,40,0,220,280,380,140,160,200,140,3420,1200,300,1460,180,60
"10",100,120,280,1480,100,1980,100,160,260,0,1180,260,480,200,60,820,860,220,20,40,40,60
"11",20,120,160,960,120,100,160,100,520,2120,0,860,680,280,260,3760,2140,440,120,260,100,200
"12",40,120,100,320,20,60,100,20,340,120,660,0,20,560,680,120,1380,280,100,200,80,80
"13",0,40,80,700,60,160,100,140,280,920,700,160,0,160,140,520,1580,340,60,40,160,60
"14",40,100,0,60,0,0,20,20,400,160,180,2260,60,0,320,100,4340,560,1040,380,40,0
"15",20,40,40,180,40,80,20,0,320,120,320,1080,160,240,0,380,2620,640,620,220,80,140
"16",40,200,240,800,220,60,240,120,600,560,2100,800,700,700,680,0,5620,1420,540,620,140,120
"17",1200,940,740,3420,860,500,1260,1520,4960,1280,1220,1400,2780,12300,3560,5280,0,27800,5580,5720,800,1580
"18",20,60,240,560,60,140,80,500,1980,240,420,160,360,680,460,980,11880,0,980,2940,440,80
"19",20,140,0,200,40,20,40,0,460,80,160,260,100,1240,1060,260,2920,820,0,400,40,20
"20",40,140,80,400,220,160,40,140,3060,260,340,160,80,660,540,440,5780,3520,860,0,380,120
"21",20,100,60,800,60,0,60,40,260,120,200,60,0,180,80,100,1660,660,40,200,0,200
"22",0,80,40,560,80,40,60,80,360,200,100,80,60,180,20,120,1140,200,60,40,140,0
