"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"1",0,20,260,0,0,100,120,180,1060,40,260,40,0,140,80,0,20,20,60,420,20,20,20,180,0,1060,60,700,160,100,620,40,40,60,40,220,20,40,240,0,140,0,40,0,40,140,80,1440,0,60,0,20
"2",0,0,2200,80,20,20,300,540,0,0,80,260,180,40,20,340,120,220,60,80,20,0,60,20,0,0,0,2540,140,1140,20,20,40,0,200,20,0,160,0,0,140,0,80,20,340,2000,60,20,0,20,0,0
"3",40,1300,0,540,0,120,920,1240,80,60,200,340,180,240,100,80,200,600,40,40,60,140,180,100,40,20,0,3580,1100,3160,40,100,400,40,220,80,120,400,80,40,580,20,200,20,40,3960,140,260,20,460,0,80
"4",20,0,660,0,0,0,420,2480,40,0,300,180,60,160,20,0,540,2380,40,20,80,120,400,60,180,100,20,1360,860,1820,220,0,0,0,280,20,0,160,40,0,780,140,280,0,220,580,0,20,20,220,0,260
"5",0,0,160,20,0,80,140,60,140,40,0,0,80,140,60,60,40,20,40,60,60,0,0,0,0,40,0,4680,40,20,40,0,40,60,0,0,960,80,20,180,100,0,0,0,40,60,240,60,0,40,0,20
"6",40,100,200,160,100,0,1340,1440,40,1620,440,220,220,360,20,0,440,160,0,180,580,60,140,80,80,120,0,4320,560,100,80,0,120,20,400,60,120,400,40,140,1900,60,60,60,320,320,260,260,80,80,0,0
"7",0,100,680,40,20,600,0,2620,0,0,460,140,20,100,280,60,380,860,20,100,200,80,120,40,40,60,80,1860,500,160,40,20,200,40,160,120,20,240,120,60,1380,0,220,0,120,1480,100,80,20,220,20,100
"8",140,640,1640,1820,40,1200,5100,0,440,860,1420,2060,380,1800,1000,460,19540,2940,300,480,620,1480,1040,940,6280,780,920,7460,2860,1760,800,460,720,300,1040,720,460,760,760,120,3000,320,22980,1040,600,3300,420,540,160,2380,60,280
"9",840,0,320,20,40,0,240,500,0,20,20,0,0,40,20,0,40,40,0,200,20,0,80,240,20,820,80,2120,120,100,300,40,120,240,180,0,280,140,560,100,120,180,80,60,40,400,860,940,100,160,0,20
"10",180,20,240,60,80,1720,600,1200,80,0,140,120,20,60,60,0,140,20,240,400,0,60,140,20,60,140,20,4420,300,260,120,0,80,80,160,140,420,140,60,0,320,0,120,0,520,360,100,60,40,100,40,0
"11",0,40,800,280,0,400,2560,1600,120,80,0,920,200,320,600,20,100,1280,200,40,640,20,480,40,280,60,60,2760,4120,760,340,0,140,0,2040,520,180,620,60,40,4240,40,340,20,200,420,140,60,0,220,1080,60
"12",40,60,280,40,0,100,760,840,60,0,40,0,60,20,0,60,180,180,60,40,20,40,20,40,60,20,40,380,360,200,20,0,80,20,60,0,0,60,0,0,100,0,640,320,120,2320,20,100,20,200,0,0
"13",20,420,960,120,20,20,320,940,0,20,140,160,0,340,100,160,20,220,160,0,120,60,220,0,0,40,0,5500,400,520,40,20,20,60,380,0,140,300,100,80,280,20,260,0,1080,680,40,0,40,100,20,0
"14",20,20,560,520,0,200,1480,2480,0,60,660,580,400,0,140,0,520,720,100,0,140,80,840,0,100,60,0,2600,2180,200,80,0,120,0,740,100,20,100,20,20,2240,20,360,0,160,980,60,80,80,100,120,20
"15",280,0,440,200,0,20,920,1300,60,20,600,140,60,140,0,0,200,140,60,180,20,0,0,320,120,60,1720,2960,280,320,80,980,600,40,2300,3540,20,1060,200,20,140,0,100,0,140,580,180,260,0,300,0,20
"16",40,760,360,0,20,80,60,320,60,20,0,220,120,0,20,0,60,20,140,0,0,0,180,20,0,0,20,2380,60,140,0,0,20,0,20,0,80,40,0,20,80,20,40,0,340,1600,20,0,0,20,40,0
"17",0,0,260,180,0,300,740,7000,20,200,180,180,100,120,20,20,0,440,0,60,0,140,580,0,260,0,100,360,480,60,20,0,20,0,300,80,40,140,0,0,500,0,600,60,100,620,120,60,0,220,0,0
"18",40,80,1060,2840,0,100,2100,2380,40,60,440,140,100,520,0,60,600,0,0,160,360,80,1500,0,100,40,40,2120,3240,1360,140,20,20,80,360,40,40,600,0,20,1020,0,320,0,220,840,140,180,0,120,160,160
"19",0,80,300,60,0,100,100,160,20,20,0,20,80,0,80,140,40,60,0,0,20,20,0,40,0,0,0,4200,200,80,20,0,20,0,60,20,60,0,60,0,40,20,0,60,320,200,100,0,40,200,0,0
"20",1340,20,600,100,20,180,280,520,320,480,260,0,40,120,220,80,60,140,40,0,60,40,0,220,0,960,60,1860,120,100,1680,180,160,120,180,320,220,340,320,0,220,120,80,0,60,260,300,2000,200,300,0,40
"21",40,20,180,40,0,340,460,660,0,20,800,320,100,400,0,0,80,180,60,40,0,60,80,20,40,20,20,960,380,80,0,0,20,0,140,40,120,100,40,0,3940,20,100,0,200,60,20,20,0,0,0,40
"22",0,0,160,20,100,20,160,1060,0,0,60,100,0,0,160,0,80,80,20,120,0,0,80,80,760,120,0,640,40,40,100,0,100,0,0,60,0,20,40,0,60,0,200,140,0,140,0,60,0,2180,0,20
"23",20,60,1280,560,20,80,1200,1760,0,20,560,320,240,820,60,80,660,1960,220,40,240,140,0,80,200,140,0,3320,1760,800,340,0,40,0,280,20,80,100,20,0,820,40,380,120,140,700,0,100,0,20,40,0
"24",160,40,740,140,40,40,660,880,220,160,180,340,40,20,980,0,240,200,80,160,60,0,60,0,60,140,480,3080,160,60,100,440,1940,180,240,400,440,340,260,40,80,40,120,0,60,220,920,360,460,140,0,0
"25",20,100,180,100,20,0,180,4000,100,0,20,160,120,60,180,40,580,240,0,20,120,480,140,20,0,80,0,380,80,20,20,60,20,0,60,80,0,60,20,0,160,0,1480,20,120,140,60,40,0,540,0,20
"26",540,0,300,0,0,20,60,700,220,20,100,0,0,20,80,0,40,20,20,40,0,20,40,60,40,0,0,840,80,20,1120,40,100,40,80,80,60,40,20,0,100,120,60,0,0,180,160,220,0,500,20,0
"27",60,0,120,0,0,0,120,600,40,20,20,60,20,20,2600,0,60,60,0,100,0,0,0,220,80,40,0,800,0,20,80,680,400,0,340,820,0,100,140,0,20,0,80,20,0,40,40,80,40,20,0,0
"28",480,900,9840,1460,2920,3760,3380,7080,1160,3040,2260,1300,3020,1460,2160,1360,720,1520,14560,1020,1140,560,2240,2140,220,820,540,0,6160,4460,1320,700,2680,540,3000,1380,1840,2260,1860,2300,3820,700,880,100,19040,4240,1800,1540,960,2340,300,120
"29",0,0,880,680,20,60,720,1320,60,60,2660,180,280,840,0,20,460,2320,80,80,320,0,480,20,20,20,0,3120,0,360,180,140,0,0,620,80,20,380,180,0,2120,20,280,0,340,440,60,80,0,220,480,660
"30",20,600,4500,1160,0,20,880,1360,40,140,480,100,120,160,180,0,240,480,20,100,100,40,300,40,40,140,20,2800,520,0,100,40,540,20,220,180,120,200,40,0,520,40,360,0,80,1500,0,60,0,460,40,80
"31",400,0,360,20,100,280,300,760,60,60,0,100,40,160,60,20,40,80,40,920,20,320,60,80,0,1000,0,1020,160,100,0,100,160,0,100,120,120,40,180,0,100,0,180,100,20,140,100,280,20,680,0,0
"32",100,0,100,20,40,40,180,840,40,60,40,120,20,40,1620,0,120,120,0,140,20,20,20,200,20,20,440,1060,40,40,80,0,200,0,400,2020,0,320,80,20,0,20,80,0,60,120,0,240,120,20,0,0
"33",120,0,980,80,0,260,860,800,240,140,160,100,140,160,480,60,140,80,40,100,200,60,60,2060,60,120,820,4740,520,280,160,180,0,120,480,860,260,860,960,40,220,0,140,40,160,500,340,220,400,300,20,40
"34",60,0,160,0,0,0,100,340,380,100,220,0,0,20,40,0,20,20,40,80,0,20,0,380,0,80,0,780,200,20,340,0,160,0,100,100,200,60,540,40,0,20,40,20,40,40,1060,220,60,60,0,40
"35",60,60,180,280,20,260,460,580,60,40,740,80,0,140,580,20,60,300,20,40,160,40,380,180,0,140,0,2780,660,240,20,0,180,40,0,320,180,2920,120,60,560,0,140,0,180,420,140,180,20,240,40,80
"36",60,0,300,100,60,100,620,680,60,0,340,20,0,20,3860,0,140,60,0,280,0,20,0,420,40,40,400,2340,200,120,100,1120,320,0,2620,0,60,1080,140,120,100,0,100,0,100,300,40,120,40,100,20,60
"37",180,80,240,20,400,120,360,820,160,700,100,260,80,20,120,0,60,180,120,220,80,40,0,440,80,220,20,3800,260,220,200,0,100,40,460,220,0,240,260,100,220,100,400,40,220,120,880,340,680,140,20,0
"38",60,80,320,180,140,100,320,640,20,40,440,120,0,280,180,0,20,300,100,80,80,40,120,160,80,120,0,1400,480,220,120,20,300,60,2880,400,80,0,40,120,680,40,160,100,80,380,200,100,80,220,60,120
"39",180,80,320,80,0,0,220,600,380,0,180,120,60,40,200,20,40,120,60,80,20,0,20,100,20,140,0,1700,220,60,120,100,440,240,240,400,180,460,0,0,80,0,160,80,60,320,140,880,0,120,40,20
"40",20,0,120,0,100,80,120,80,60,20,140,0,0,40,100,0,0,80,0,80,0,0,0,120,0,0,0,2480,40,40,20,20,0,0,80,60,100,0,100,0,20,0,0,0,140,80,600,60,20,40,40,0
"41",0,120,740,400,0,1000,2900,2100,20,140,3420,340,380,1560,80,0,380,1040,40,80,3420,20,440,40,120,0,0,3580,3180,360,340,20,340,40,1680,120,100,1140,20,60,0,0,200,40,160,640,60,60,0,240,260,120
"42",0,20,80,20,0,20,80,400,80,0,0,20,0,0,0,20,60,0,0,0,0,40,0,20,0,180,0,940,80,0,140,0,60,160,60,0,20,40,80,160,0,0,0,100,20,60,120,20,20,400,20,0
"43",20,100,340,0,80,180,400,5080,160,140,20,800,100,220,0,40,320,40,0,0,140,80,220,0,440,40,20,600,240,280,100,0,160,40,100,60,20,80,20,20,160,0,0,60,60,740,20,200,20,640,0,0
"44",0,20,160,80,0,100,360,860,0,100,60,1040,0,120,20,20,40,100,60,40,80,80,0,60,60,20,0,220,0,120,80,0,20,20,60,0,0,20,20,0,0,0,140,0,40,820,0,20,0,1540,20,0
"45",0,120,380,160,80,100,240,400,140,300,140,260,520,140,80,280,120,120,520,60,20,40,220,100,0,0,0,10960,260,240,20,20,80,120,200,40,100,40,80,100,60,0,120,0,0,320,160,20,40,120,20,0
"46",100,1060,5100,280,160,180,1840,2600,200,160,520,3380,340,520,100,940,360,260,280,20,100,80,400,80,160,40,100,3220,680,1140,280,60,80,120,560,140,100,320,120,40,480,40,480,640,200,0,100,180,20,800,40,40
"47",60,100,540,60,220,60,320,500,660,100,180,120,100,20,120,0,40,40,20,80,20,0,0,780,160,60,80,3020,240,120,140,40,400,980,180,120,720,360,320,280,160,140,40,0,160,160,0,360,680,120,20,80
"48",2600,0,1280,100,120,280,400,960,1360,460,360,300,120,40,480,20,260,260,80,1780,80,160,320,620,40,1020,380,2700,740,100,1140,440,800,320,420,140,520,400,5500,60,140,120,200,40,80,560,440,0,220,440,0,0
"49",80,0,100,0,0,20,120,500,60,0,0,100,0,100,200,40,160,20,40,40,0,20,0,620,0,40,0,1920,20,100,40,40,440,180,100,260,660,120,80,0,60,20,0,20,40,80,540,300,0,100,20,20
"50",160,80,560,60,0,100,360,2460,100,180,160,280,220,200,140,40,20,140,340,200,180,2220,40,280,280,340,20,3160,80,280,940,20,200,100,200,40,140,180,120,20,180,140,900,1260,40,1000,200,160,0,0,0,20
"51",20,20,40,80,0,60,0,360,20,100,880,20,0,60,40,0,80,80,20,0,40,0,0,0,160,0,0,500,1140,100,40,0,20,0,80,0,0,100,0,0,240,0,80,0,20,120,40,40,0,0,0,100
"52",0,60,120,480,0,80,40,200,0,0,80,120,0,60,0,0,20,140,0,0,0,20,0,40,0,0,0,220,560,180,140,0,20,0,360,40,0,80,40,0,140,0,0,0,0,160,0,0,20,40,40,0
