"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"1",0,12,151,10,6,24,45,78,492,47,22,20,15,12,49,5,6,21,6,345,7,6,13,22,9,373,20,275,60,22,200,52,34,7,47,36,36,37,87,8,25,17,17,2,17,45,49,675,24,55,2,2
"2",8,0,912,31,8,8,223,196,13,11,25,148,109,14,12,166,17,40,32,8,25,13,68,12,9,19,3,462,34,537,22,11,24,6,71,6,3,34,12,4,36,4,35,16,88,799,6,18,4,35,2,6
"3",55,556,0,256,35,91,576,803,80,73,215,168,216,163,82,80,131,330,41,111,46,37,245,103,63,78,22,2032,287,2065,141,41,186,37,231,68,50,145,94,29,235,14,134,39,131,1939,118,233,41,127,20,22
"4",20,37,350,0,5,27,336,835,13,8,137,130,38,67,28,10,123,917,23,33,42,44,154,16,110,48,0,567,297,749,100,4,29,1,138,21,4,71,17,2,166,11,161,10,40,250,9,33,8,89,17,138
"5",5,3,67,1,0,18,42,36,17,32,17,17,12,3,20,6,3,7,22,10,2,2,9,17,2,8,5,1286,26,11,8,2,20,13,24,18,138,34,13,40,10,8,6,0,118,27,137,21,25,13,4,5
"6",20,28,172,30,17,0,799,550,23,528,119,122,90,111,16,14,98,50,35,87,126,26,24,33,29,25,6,1446,148,58,47,5,26,6,218,22,57,125,29,2,491,17,99,8,137,136,40,113,27,55,22,18
"7",26,153,602,128,21,299,0,1605,27,129,1058,123,143,459,240,46,196,691,17,73,124,38,265,123,70,57,27,1224,312,304,67,40,186,26,326,183,35,233,96,29,950,16,176,24,86,899,90,133,14,153,18,29
"8",90,230,915,651,30,520,2372,0,108,257,676,834,254,742,268,187,6814,930,123,208,259,580,497,212,2249,171,278,2357,828,766,300,295,223,39,573,278,116,467,183,53,1138,104,7521,304,151,1273,148,247,85,718,51,111
"9",383,9,212,25,19,31,78,114,0,20,27,28,30,11,33,1,27,18,8,110,6,23,6,99,11,199,14,781,90,42,84,13,92,128,64,41,46,55,236,36,35,90,36,11,30,92,229,670,39,75,6,3
"10",62,18,220,12,56,497,285,278,27,0,64,79,21,21,5,10,74,17,39,138,56,15,29,22,34,36,3,1552,68,268,58,3,44,11,77,29,152,58,25,15,126,16,76,5,373,95,32,111,13,59,7,3
"11",14,18,258,131,10,80,1370,548,18,48,0,448,39,188,193,3,125,251,35,38,199,10,100,23,36,46,15,1082,1312,223,53,17,48,10,959,84,6,365,36,9,1406,5,117,5,72,214,36,71,16,78,576,40
"12",12,75,204,38,5,36,137,551,7,20,113,0,52,100,15,23,69,31,13,28,15,23,47,13,53,17,4,282,51,91,36,12,42,9,54,18,6,36,20,10,82,6,406,151,29,1099,14,38,11,117,12,7
"13",11,138,451,44,7,70,224,301,10,28,53,151,0,109,14,56,27,78,72,19,23,12,115,14,13,16,2,1688,129,166,35,10,21,11,70,5,7,65,35,10,66,6,139,13,429,338,17,35,7,50,7,6
