"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
"1",0,2576,1965,1764,5759,6345,29477,226,1766,2058,33095,27923,2827,2644,448,36472,10094,17575,44864,543,6052,321,51,226,58,0
"2",2919,0,14364,2064,1301,497,6808,97,181,136,459,4688,2347,164,128,215,450,258,1203,10498,23793,0,137,117,2,29
"3",1041,9719,0,3643,2784,945,13775,148,210,85,626,846,3239,473,230,100,558,306,887,299,2654,7,6,501,2,18
"4",1009,2787,4484,0,2982,1833,18609,96,169,199,497,279,165,3630,70,2798,385,103,207,261,909,505,104,790,668,293
"5",3190,533,1169,2016,0,3669,20145,319,213,577,2339,1927,576,513,2863,312,264,233,463,252,878,26,44,695,23,162
"6",225,255,802,1273,2709,0,23222,763,723,146,111,325,147,36,31,4604,140,72,245,796,28,17,17,386,18,8
"7",6077,3196,7060,7979,13611,20846,0,4975,5152,1565,3927,3289,1695,1996,784,1371,7092,1930,3169,1555,883,296,428,4514,1420,1421
"8",63,79,121,151,408,1280,5557,0,5559,505,87,55,93,70,95,87,87,3907,160,66,31,15,3,118,52,5
"9",204,135,116,226,204,550,7244,6230,0,1071,112,153,19,7,15,16,98,20,9921,32,56,0,3,197,27,17
"10",144,52,58,247,575,346,2587,410,1549,0,2877,3380,2285,3309,2928,4925,6701,3639,12645,1144,196,10,7,124,3,9
"11",2663,355,445,280,6521,512,8369,135,126,2193,0,7872,275,7324,367,172,559,55,419,181,673,33,0,170,5,5
"12",548,858,662,377,3866,409,4770,91,174,767,4914,0,842,340,2908,98,213,77,243,144,311,6,3,107,2,19
"13",1716,3362,2269,96,709,230,4157,10,24,109,109,574,0,2438,302,174,2184,184,596,180,3152,17,29,28,0,24
"14",589,136,201,1761,1675,567,3742,14,12,59,109,476,1962,0,2521,2435,6425,372,3213,421,90,70,138,295,15,13
"15",106,81,241,156,1868,90,1886,9,19,225,586,2016,188,1414,0,1741,438,24,675,88,19,12,0,10,8,17
"16",323,162,128,399,1195,849,3321,35,27,23,36,190,136,3436,2537,0,2687,2469,3616,321,156,6,15,109,7,9
"17",332,419,229,126,510,406,6086,35,17,26,255,302,1437,6982,889,1005,0,4551,11817,2395,222,437,456,706,284,549
"18",182,158,119,57,454,96,2416,761,26,33,14,58,137,440,31,1380,2762,0,9215,827,24,6,7,48,0,0
"19",412,480,365,236,608,234,9658,27,1097,81,199,303,689,2250,426,984,16440,8726,0,10013,168,36,111,273,156,54
"20",434,628,271,144,223,133,3733,12,15,119,68,167,268,351,72,366,2661,1004,15716,0,1483,0,0,20,3,5
"21",861,3447,476,332,159,25,366,0,0,0,2,245,963,27,12,0,58,3,28,498,0,17,0,8,0,0
"22",26,4,9,257,72,189,731,25,0,0,10,63,4,62,0,3,61,0,84,0,0,0,635,3496,454,1194
"23",3,0,7,56,0,46,300,9,0,0,0,0,0,51,0,32,17,0,0,0,0,426,0,3369,390,498
"24",25,46,0,125,31,172,915,18,17,7,17,13,30,48,104,45,132,104,55,53,3,2246,3961,0,5291,8364
"25",2,6,0,371,39,13,599,2,19,0,12,11,7,0,4,3,4,10,0,0,0,135,122,2419,0,1393
"26",10,0,0,158,28,32,13,14,0,0,16,0,0,0,20,11,0,0,0,6,0,209,117,2006,931,0
