"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
"1",0,29417,78336,32762,13213,1605,2892,0,2486,3880,15462,10389,1995,685,2484,3567,1271,3557,8532,1721,2877,6001,3555,1253,1307,403,953,805,3497,1033,4075,2078,12267,735,1228,1778,2239,5891,813,2406,912,1823,508,610,2860,0,3163,1543,9096,729,1509,2868,2336,1237,4127,6071,6988,16081,14095,918,1306,1727,4518,103,1793,1800,3340,494,910,4298,483,287,744,831,1287,391
"2",14683,0,1865,1121,896,0,99,0,693,690,3312,602,392,0,303,0,0,198,403,503,101,0,211,101,0,0,201,0,215,0,101,0,503,0,0,0,201,303,0,203,100,303,0,0,912,0,823,617,1509,200,0,102,105,0,393,293,586,1175,1011,0,0,103,417,0,0,98,0,0,0,414,0,0,0,0,0,0
"3",10856,904,0,5403,398,0,97,0,0,0,499,510,685,0,99,99,0,0,0,0,201,301,201,0,101,0,0,0,0,0,603,0,806,0,0,0,0,205,0,0,100,0,505,0,0,0,100,0,0,515,0,203,0,102,194,97,393,704,101,0,0,0,0,0,0,0,0,0,415,0,0,0,274,0,0,0
"4",6279,399,1740,0,2543,0,0,0,99,196,302,202,0,0,512,0,1373,194,215,100,0,0,0,0,100,0,0,0,0,100,0,202,201,0,0,403,0,0,0,0,203,105,100,0,407,0,305,0,604,0,0,102,0,0,0,103,698,406,296,0,0,0,0,0,105,0,0,0,0,195,0,0,0,482,98,0
"5",5696,1920,400,4187,0,99,300,0,717,1894,798,1491,203,99,1972,0,0,103,1908,0,0,101,0,0,0,0,213,0,1019,202,0,215,0,0,0,0,0,315,0,105,0,315,0,105,0,0,105,102,0,105,0,105,0,0,392,0,0,803,792,0,0,0,105,0,0,0,0,103,0,91,0,0,103,0,0,0
"6",3306,822,714,902,2668,0,0,0,0,393,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,105,0,0,0,0,0,0,0,0,0,420,0,0,0,102,0,100,0,99,97,802,0,0,0,0,0,98,0,0,0,0,0,103,0,0,0,0,0,0
"7",7283,705,602,2833,1704,206,0,806,980,1396,0,712,1200,0,194,0,0,504,1018,0,0,0,0,0,503,0,0,101,106,412,0,0,101,0,0,0,0,205,0,0,102,0,0,0,0,0,705,0,0,0,102,403,200,203,0,0,97,0,409,0,205,388,0,209,91,0,195,0,391,0,0,0,189,0,0,0
"8",4146,1217,200,1732,1289,304,999,0,99,0,206,0,196,0,0,103,0,0,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,203,0,0,102,0,102,0,0,0,0,102,0,97,388,206,486,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0
"9",3506,896,1585,817,1085,202,99,504,0,615,205,0,0,0,296,293,0,0,0,0,0,0,0,0,0,0,0,0,107,0,101,0,0,0,0,0,0,203,0,0,0,0,0,0,105,0,619,830,0,202,0,0,0,0,0,97,196,812,296,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",4622,1982,1331,1721,4133,0,497,0,0,0,716,501,822,304,0,0,198,99,1836,0,0,0,302,0,101,0,0,0,211,0,0,0,0,107,0,320,0,1109,100,0,0,0,0,0,0,0,502,0,0,0,405,0,0,808,99,395,0,0,97,0,0,0,0,0,0,91,0,0,0,287,0,0,0,0,0,0
"11",6204,5119,714,302,97,0,0,0,103,196,0,4272,1671,1201,1809,598,0,408,1610,406,100,804,0,0,0,0,0,0,100,502,807,0,1670,0,201,106,201,105,0,102,102,0,0,210,100,0,305,0,0,0,100,100,0,0,0,103,293,196,1474,0,0,0,195,0,98,623,652,105,103,0,0,0,627,0,0,0
"12",5302,714,907,402,395,0,0,0,0,0,7408,0,1802,300,591,0,0,588,100,0,0,201,201,0,741,0,0,0,0,0,0,0,101,0,0,201,0,510,0,202,202,202,0,0,0,0,0,0,300,315,102,0,0,0,295,506,97,505,0,0,97,0,756,0,0,0,0,0,0,0,0,0,91,0,0,0
"13",3316,689,308,97,1287,0,408,0,0,393,2212,3199,0,982,399,0,0,1081,0,0,402,101,101,307,0,0,0,0,0,0,0,429,0,0,0,0,0,210,0,210,0,0,0,0,0,0,202,202,505,0,0,0,105,100,205,0,0,0,103,0,0,597,0,0,0,0,0,0,0,0,0,0,298,0,0,0
"14",1019,200,0,392,97,0,0,0,0,0,1231,2409,597,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,603,0,0,201,0,0,0,0,0,0,0,0,105,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",3563,603,914,303,103,0,99,392,0,0,4595,710,904,97,0,0,0,0,201,202,0,101,0,0,1267,0,0,0,101,0,306,0,413,0,0,107,0,302,0,0,0,0,0,0,100,0,0,0,0,0,302,105,0,0,97,198,198,291,586,0,99,99,0,0,0,0,105,0,208,0,0,0,0,0,0,0
"16",5001,491,406,615,304,0,0,0,0,97,1216,309,810,0,2397,0,194,1008,502,301,202,0,0,0,301,0,0,0,0,0,0,101,0,0,100,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,99,586,504,0,194,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0
"17",2554,1094,203,500,295,0,0,0,0,508,103,512,0,101,794,1129,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,103,293,203,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0
"18",4858,994,198,1327,494,0,0,0,97,1010,1940,601,1505,0,2020,689,0,0,107,201,504,1007,0,202,201,704,0,107,0,107,805,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,200,0,0,0,102,0,99,0,205,0,706,0,99,0,206,0,0,0,0,0,0,0,476,0,91,0,0,0
"19",19050,4081,1414,5282,4404,0,884,194,206,3035,5219,2612,997,97,1195,2463,588,1300,0,3872,1229,1038,605,309,3355,402,107,2935,950,502,503,1222,1327,106,101,101,0,1012,0,0,0,105,105,0,408,0,613,102,102,0,702,203,607,102,494,504,405,2688,3687,198,97,0,314,0,0,293,208,0,105,0,0,520,0,195,0,0
"20",11424,3718,399,2237,3240,0,0,0,0,402,7638,1474,998,97,1205,489,0,705,2063,0,1612,1482,1207,308,504,100,213,928,731,215,604,503,1454,609,202,320,0,210,0,0,200,102,205,0,0,0,203,0,105,0,0,200,0,0,487,293,904,2215,4499,0,0,496,0,105,105,823,415,517,206,0,0,195,0,0,0,0
"21",16364,5475,101,301,1424,0,0,0,0,588,2900,1021,306,99,97,686,194,784,2227,1910,0,2150,309,604,302,0,0,725,211,0,0,1116,208,0,1124,201,0,206,100,0,0,0,105,102,105,0,203,0,210,0,102,102,100,100,393,99,302,2250,2604,0,97,198,206,105,0,1746,613,0,0,0,103,0,0,0,0,0
"22",13701,4100,1786,1430,490,0,198,0,0,692,2588,4003,99,0,1710,0,0,0,805,422,1539,0,3798,1906,0,421,0,611,106,0,309,0,1154,0,804,403,0,0,0,0,402,0,0,0,0,0,0,203,0,102,102,203,0,0,97,194,0,3384,3137,97,0,0,0,206,98,105,0,105,519,0,0,0,0,0,0,0
"23",21462,4129,205,3344,2181,0,0,0,99,1004,4065,2160,97,97,491,705,0,401,2458,101,309,4644,0,1332,201,1543,213,1633,1592,402,202,303,1846,107,535,101,502,930,100,941,303,0,303,0,0,0,102,206,407,0,300,0,203,200,601,200,196,906,2034,0,0,405,287,0,0,105,1204,1250,103,623,702,0,0,103,599,0
"24",5302,1199,408,914,691,0,0,0,0,0,1094,402,392,0,99,0,0,97,0,202,0,402,1239,0,0,1005,0,101,316,100,0,516,1020,1059,0,0,505,0,0,0,0,0,0,0,0,0,0,0,100,102,0,203,210,515,293,97,1833,203,1098,0,0,0,0,0,0,0,0,0,0,0,195,0,206,0,0,0
"25",11633,5219,794,1122,2022,103,198,0,0,2642,1306,1599,0,619,409,489,0,491,1333,201,0,215,309,0,0,0,623,2941,839,853,201,0,309,101,311,0,0,0,0,307,0,0,0,0,0,0,403,310,102,420,200,105,0,0,402,0,512,1080,3906,194,0,99,0,0,0,366,625,0,0,183,98,0,0,0,0,0
"26",2457,0,0,103,296,0,0,0,0,0,1108,0,0,0,99,0,0,206,414,100,0,0,915,0,0,0,0,0,0,0,0,0,426,0,0,201,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,100,0,0,0,0,511,1182,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1428,913,0,0,408,0,0,0,0,194,820,717,0,0,101,0,0,0,0,101,0,0,0,100,0,0,0,1214,835,429,1106,0,101,101,100,107,0,105,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,297,101,205,1270,1017,0,0,194,103,1252,0,0,520,0,0,299,0,0,0,0,0,0
