"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
"1",0,3518,3997,3183,1489,1908,1812,1247,693,929,1445,1011,996,896,434,2579,2406,4073,1699,4504,1533,1648,780,1575,4066,3050,1925,774,219,123,577,1019,235,453,71,60,618,302,878,917,424,140,131,2209,18124,4902,784,109,3724,1705,226,45,42,71,94,88,38,30,166,43,25,4,16
"2",13094,0,2240,615,562,137,510,133,20,24,52,88,141,73,23,215,198,92,170,332,2760,146,33,68,76,194,158,90,28,10,29,137,23,48,16,7,174,11,151,126,90,9,50,204,5027,1202,137,45,1053,1060,53,29,21,7,0,54,29,36,88,4,77,0,11
"3",22467,7896,0,3705,599,199,376,160,197,103,108,348,159,63,62,1085,244,562,770,1321,5974,273,111,303,324,163,118,70,22,10,98,259,91,43,25,42,243,217,1045,587,373,13,49,745,6557,3685,555,38,3698,699,135,35,27,149,16,31,7,9,103,9,7,17,10
"4",21034,1886,3514,0,303,310,201,162,147,126,447,1071,187,146,266,997,278,620,594,1053,1706,399,250,1167,245,51,188,78,53,58,31,143,18,65,49,12,60,136,531,220,302,39,41,295,4064,1418,172,138,1040,545,377,90,17,238,44,236,14,89,237,133,133,59,52
"5",31294,8122,2910,2811,0,390,1980,431,199,389,133,227,575,348,190,1936,423,909,259,1067,5173,1360,967,834,329,560,499,130,54,74,133,419,194,402,20,63,397,494,675,1568,695,175,211,1254,12877,10048,1514,147,7762,2056,273,38,71,68,6,43,65,14,273,41,223,66,4
"6",16956,1124,640,1130,499,0,2382,718,44,111,70,123,374,132,15,1093,148,527,144,575,429,293,242,356,327,703,444,87,14,26,44,228,60,152,2,24,340,182,308,275,193,64,95,546,6432,3908,288,86,3368,524,167,32,0,128,27,19,5,21,87,33,85,23,93
"7",35654,4433,988,1550,1032,1460,0,1576,236,239,888,461,698,340,293,1527,253,1011,215,958,1980,516,229,791,343,968,969,135,144,44,205,874,255,205,91,94,544,394,999,962,1459,97,237,2238,19069,6761,1283,139,7471,3564,280,111,76,137,52,74,29,5,216,38,203,169,290
"8",13011,1468,367,715,387,399,1792,0,71,183,115,95,301,42,72,675,208,297,106,406,727,411,113,683,444,1011,816,94,28,36,112,339,97,164,41,57,265,669,631,600,561,33,272,1258,8617,6049,558,73,4785,830,122,6,35,101,29,36,6,23,128,5,99,75,205
"9",2164,96,152,115,109,19,319,72,0,1241,235,23,108,150,43,482,200,314,23,67,62,40,18,13,21,48,6,21,2,5,12,0,13,0,3,7,0,7,4,1131,425,17,8,146,160,664,28,28,1016,33,7,7,12,0,10,0,0,0,6,20,0,0,9
"10",6815,657,339,477,190,119,202,223,2156,0,99,60,178,401,262,839,1122,1233,126,295,247,386,63,1234,177,181,54,26,5,44,39,57,32,10,4,27,20,31,138,672,459,0,67,158,1396,4607,151,9,1095,60,10,12,22,0,0,0,11,4,0,0,0,20,0
"11",1735,270,87,245,64,38,78,21,502,223,0,189,14,11,1932,2162,60,143,71,204,21,16,13,43,44,49,24,8,4,0,25,63,20,0,6,82,50,61,1383,1900,1050,0,0,655,503,307,601,7,118,52,35,0,10,0,0,0,0,0,0,3,6,7,0
"12",4071,596,377,378,108,106,123,51,25,53,252,0,14,46,164,1935,116,163,1815,1130,989,34,53,270,53,145,109,42,6,12,13,41,41,17,3,143,3,90,615,1091,2120,2,8,290,1398,3017,339,9,2000,102,0,14,0,44,7,0,5,0,0,0,5,4,0
"13",3654,433,99,258,145,68,152,80,164,62,10,15,0,1002,6,256,465,613,14,124,67,1466,548,187,76,53,93,20,7,0,31,25,14,8,0,2,38,12,26,312,641,0,5,101,182,436,14,0,189,47,0,0,0,0,0,0,2,0,3,3,0,0,0
"14",5701,242,202,437,380,117,316,70,230,476,82,66,2442,0,26,692,959,472,62,263,256,963,80,406,156,47,43,56,9,12,27,108,11,22,0,7,81,55,85,145,76,9,4,226,932,2000,2,10,1711,78,17,9,21,0,0,0,6,0,43,0,0,0,0
"15",865,180,113,115,96,39,96,36,12,375,608,177,11,16,0,2496,64,122,23,166,37,35,11,22,19,62,28,0,0,4,0,5,4,17,15,34,37,14,786,434,773,0,16,208,421,396,384,0,147,23,11,0,0,0,0,0,0,6,0,14,15,0,0
"16",14482,1005,660,1137,406,170,273,191,307,640,1824,747,332,259,1756,0,485,712,971,1307,392,360,87,235,137,354,141,119,7,23,112,178,97,12,13,66,59,147,372,627,437,13,55,824,3479,2077,292,23,2013,296,64,18,0,38,13,13,12,6,70,6,0,13,0
"17",25312,750,459,711,243,167,210,185,694,714,115,139,1151,1131,54,919,0,3451,284,1025,358,1350,207,747,660,247,74,120,24,38,23,96,76,19,28,51,77,620,221,621,525,13,39,257,3904,5390,219,3,3607,298,129,40,56,19,0,15,5,0,20,0,21,8,0
